zip,ssacnty,ssastco,countyname,city,stabbr,state
01252,010,22010,Berkshire,North Egremont,MA,Massachusetts
01253,010,22010,Berkshire,Otis,MA,Massachusetts
01254,010,22010,Berkshire,Richmond,MA,Massachusetts
01255,010,22010,Berkshire,Sandisfield,MA,Massachusetts
01256,010,22010,Berkshire,Savoy,MA,Massachusetts
01257,010,22010,Berkshire,Sheffield,MA,Massachusetts
01258,010,22010,Berkshire,South Egremont,MA,Massachusetts
01259,010,22010,Berkshire,Southfield,MA,Massachusetts
01260,010,22010,Berkshire,South Lee,MA,Massachusetts
01262,010,22010,Berkshire,Stockbridge,MA,Massachusetts
01263,010,22010,Berkshire,Stockbridge,MA,Massachusetts
01264,010,22010,Berkshire,Tyringham,MA,Massachusetts
01266,010,22010,Berkshire,West Stockbridge,MA,Massachusetts
01267,010,22010,Berkshire,Williamstown,MA,Massachusetts
01270,010,22010,Berkshire,Windsor,MA,Massachusetts
01301,060,22060,Franklin,Greenfield,MA,Massachusetts
01302,060,22060,Franklin,Greenfield,MA,Massachusetts
01330,060,22060,Franklin,Ashfield,MA,Massachusetts
01331,170,22170,Worcester,Athol,MA,Massachusetts
01337,060,22060,Franklin,Bernardston,MA,Massachusetts
01338,060,22060,Franklin,Buckland,MA,Massachusetts
01339,060,22060,Franklin,Charlemont,MA,Massachusetts
01340,060,22060,Franklin,Colrain,MA,Massachusetts
01341,060,22060,Franklin,Conway,MA,Massachusetts
01342,060,22060,Franklin,Deerfield,MA,Massachusetts
01343,010,22010,Berkshire,Drury,MA,Massachusetts
01344,060,22060,Franklin,Erving,MA,Massachusetts
01346,060,22060,Franklin,Heath,MA,Massachusetts
01347,060,22060,Franklin,Lake Pleasant,MA,Massachusetts
01349,060,22060,Franklin,Millers Falls,MA,Massachusetts
01350,060,22060,Franklin,Monroe Bridge,MA,Massachusetts
01351,060,22060,Franklin,Montague,MA,Massachusetts
01354,060,22060,Franklin,Gill,MA,Massachusetts
01355,060,22060,Franklin,New Salem,MA,Massachusetts
01360,060,22060,Franklin,Northfield,MA,Massachusetts
01364,060,22060,Franklin,Orange,MA,Massachusetts
01366,170,22170,Worcester,Petersham,MA,Massachusetts
01367,010,22010,Berkshire,Rowe,MA,Massachusetts
01368,170,22170,Worcester,Royalston,MA,Massachusetts
01370,060,22060,Franklin,Shelburne Falls,MA,Massachusetts
01373,060,22060,Franklin,South Deerfield,MA,Massachusetts
01375,060,22060,Franklin,Sunderland,MA,Massachusetts
01376,060,22060,Franklin,Turners Falls,MA,Massachusetts
01379,060,22060,Franklin,Wendell,MA,Massachusetts
01380,060,22060,Franklin,Wendell Depot,MA,Massachusetts
01420,170,22170,Worcester,Fitchburg,MA,Massachusetts
01430,170,22170,Worcester,Ashburnham,MA,Massachusetts
01431,090,22090,Middlesex,Ashby,MA,Massachusetts
01432,090,22090,Middlesex,Ayer,MA,Massachusetts
01436,170,22170,Worcester,Baldwinville,MA,Massachusetts
01438,170,22170,Worcester,East Templeton,MA,Massachusetts
01440,090,22090,Middlesex,Gardner,MA,Massachusetts
01440,170,22170,Worcester,Gardner,MA,Massachusetts
01441,170,22170,Worcester,Westminster,MA,Massachusetts
01450,170,22170,Worcester,Groton,MA,Massachusetts
01450,090,22090,Middlesex,Groton,MA,Massachusetts
01451,170,22170,Worcester,Harvard,MA,Massachusetts
01452,170,22170,Worcester,Hubbardston,MA,Massachusetts
01453,170,22170,Worcester,Leominster,MA,Massachusetts
01460,090,22090,Middlesex,Littleton,MA,Massachusetts
01462,170,22170,Worcester,Lunenburg,MA,Massachusetts
01463,090,22090,Middlesex,Pepperell,MA,Massachusetts
01463,170,22170,Worcester,Pepperell,MA,Massachusetts
01464,170,22170,Worcester,Shirley,MA,Massachusetts
01464,090,22090,Middlesex,Shirley,MA,Massachusetts
01467,170,22170,Worcester,Still River,MA,Massachusetts
01468,170,22170,Worcester,Templeton,MA,Massachusetts
01469,090,22090,Middlesex,Townsend,MA,Massachusetts
01470,090,22090,Middlesex,Groton,MA,Massachusetts
01471,090,22090,Middlesex,Groton,MA,Massachusetts
01472,090,22090,Middlesex,West Groton,MA,Massachusetts
01473,170,22170,Worcester,Westminster,MA,Massachusetts
01474,090,22090,Middlesex,West Townsend,MA,Massachusetts
01475,170,22170,Worcester,Winchendon,MA,Massachusetts
01477,170,22170,Worcester,Winchendon Springs,MA,Massachusetts
01501,170,22170,Worcester,Auburn,MA,Massachusetts
01503,170,22170,Worcester,Berlin,MA,Massachusetts
01504,170,22170,Worcester,Blackstone,MA,Massachusetts
01505,170,22170,Worcester,Boylston,MA,Massachusetts
01506,170,22170,Worcester,Brookfield,MA,Massachusetts
01507,170,22170,Worcester,Charlton,MA,Massachusetts
01508,170,22170,Worcester,Charlton City,MA,Massachusetts
01509,170,22170,Worcester,Charlton Depot,MA,Massachusetts
01510,170,22170,Worcester,Clinton,MA,Massachusetts
01515,170,22170,Worcester,East Brookfield,MA,Massachusetts
01516,170,22170,Worcester,Douglas,MA,Massachusetts
01517,170,22170,Worcester,East Princeton,MA,Massachusetts
01518,170,22170,Worcester,Fiskdale,MA,Massachusetts
01519,170,22170,Worcester,Grafton,MA,Massachusetts
01520,170,22170,Worcester,Holden,MA,Massachusetts
01522,170,22170,Worcester,Jefferson,MA,Massachusetts
01523,170,22170,Worcester,Lancaster,MA,Massachusetts
01524,170,22170,Worcester,Leicester,MA,Massachusetts
01525,170,22170,Worcester,Linwood,MA,Massachusetts
01526,170,22170,Worcester,Manchaug,MA,Massachusetts
01527,170,22170,Worcester,Millbury,MA,Massachusetts
01529,170,22170,Worcester,Millville,MA,Massachusetts
01531,170,22170,Worcester,New Braintree,MA,Massachusetts
01532,170,22170,Worcester,Northborough,MA,Massachusetts
01534,170,22170,Worcester,Northbridge,MA,Massachusetts
01535,170,22170,Worcester,North Brookfield,MA,Massachusetts
01536,170,22170,Worcester,North Grafton,MA,Massachusetts
01537,170,22170,Worcester,North Oxford,MA,Massachusetts
01538,170,22170,Worcester,North Uxbridge,MA,Massachusetts
01540,170,22170,Worcester,Oxford,MA,Massachusetts
01541,170,22170,Worcester,Princeton,MA,Massachusetts
01542,170,22170,Worcester,Rochdale,MA,Massachusetts
01543,170,22170,Worcester,Rutland,MA,Massachusetts
01545,170,22170,Worcester,Shrewsbury,MA,Massachusetts
01550,170,22170,Worcester,Southbridge,MA,Massachusetts
01560,170,22170,Worcester,South Grafton,MA,Massachusetts
01561,170,22170,Worcester,South Lancaster,MA,Massachusetts
01562,170,22170,Worcester,Spencer,MA,Massachusetts
01564,170,22170,Worcester,Sterling,MA,Massachusetts
01566,170,22170,Worcester,Sturbridge,MA,Massachusetts
01568,170,22170,Worcester,Upton,MA,Massachusetts
01569,170,22170,Worcester,Uxbridge,MA,Massachusetts
01570,170,22170,Worcester,Webster,MA,Massachusetts
01580,170,22170,Worcester,Westborough,MA,Massachusetts
01581,170,22170,Worcester,Westborough,MA,Massachusetts
01582,170,22170,Worcester,Westborough,MA,Massachusetts
01583,170,22170,Worcester,West Boylston,MA,Massachusetts
01585,170,22170,Worcester,West Brookfield,MA,Massachusetts
01586,170,22170,Worcester,West Millbury,MA,Massachusetts
01588,170,22170,Worcester,Whitinsville,MA,Massachusetts
01590,170,22170,Worcester,Sutton,MA,Massachusetts
01601,170,22170,Worcester,Worcester,MA,Massachusetts
01602,170,22170,Worcester,Worcester,MA,Massachusetts
01603,170,22170,Worcester,Worcester,MA,Massachusetts
01604,170,22170,Worcester,Worcester,MA,Massachusetts
01605,170,22170,Worcester,Worcester,MA,Massachusetts
01606,170,22170,Worcester,Worcester,MA,Massachusetts
01607,170,22170,Worcester,Worcester,MA,Massachusetts
01608,090,22090,Middlesex,Worcester,MA,Massachusetts
01608,170,22170,Worcester,Worcester,MA,Massachusetts
01608,160,22160,Suffolk,Worcester,MA,Massachusetts
01609,170,22170,Worcester,Worcester,MA,Massachusetts
01610,170,22170,Worcester,Worcester,MA,Massachusetts
01611,170,22170,Worcester,Cherry Valley,MA,Massachusetts
01612,170,22170,Worcester,Paxton,MA,Massachusetts
01613,170,22170,Worcester,Worcester,MA,Massachusetts
01613,090,22090,Middlesex,Worcester,MA,Massachusetts
01614,170,22170,Worcester,Worcester,MA,Massachusetts
01615,170,22170,Worcester,Worcester,MA,Massachusetts
01701,170,22170,Worcester,Framingham,MA,Massachusetts
01701,090,22090,Middlesex,Framingham,MA,Massachusetts
01718,090,22090,Middlesex,Village of Nagog Woods,MA,Massachusetts
01719,090,22090,Middlesex,Boxborough,MA,Massachusetts
01720,090,22090,Middlesex,Acton,MA,Massachusetts
01720,170,22170,Worcester,Acton,MA,Massachusetts
01721,090,22090,Middlesex,Ashland,MA,Massachusetts
01721,170,22170,Worcester,Ashland,MA,Massachusetts
01730,090,22090,Middlesex,Bedford,MA,Massachusetts
01740,170,22170,Worcester,Bolton,MA,Massachusetts
01741,090,22090,Middlesex,Carlisle,MA,Massachusetts
01742,090,22090,Middlesex,Concord,MA,Massachusetts
01745,170,22170,Worcester,Fayville,MA,Massachusetts
01746,090,22090,Middlesex,Holliston,MA,Massachusetts
01747,170,22170,Worcester,Hopedale,MA,Massachusetts
01747,090,22090,Middlesex,Hopedale,MA,Massachusetts
01748,090,22090,Middlesex,Hopkinton,MA,Massachusetts
01748,170,22170,Worcester,Hopkinton,MA,Massachusetts
01749,090,22090,Middlesex,Hudson,MA,Massachusetts
01752,170,22170,Worcester,Marlborough,MA,Massachusetts
01752,090,22090,Middlesex,Marlborough,MA,Massachusetts
01754,090,22090,Middlesex,Maynard,MA,Massachusetts
01756,170,22170,Worcester,Mendon,MA,Massachusetts
01757,090,22090,Middlesex,Milford,MA,Massachusetts
01757,170,22170,Worcester,Milford,MA,Massachusetts
01760,090,22090,Middlesex,Natick,MA,Massachusetts
01760,170,22170,Worcester,Natick,MA,Massachusetts
01770,090,22090,Middlesex,Sherborn,MA,Massachusetts
01772,170,22170,Worcester,Southborough,MA,Massachusetts
01773,090,22090,Middlesex,Lincoln,MA,Massachusetts
01775,090,22090,Middlesex,Stow,MA,Massachusetts
01776,090,22090,Middlesex,Sudbury,MA,Massachusetts
01778,090,22090,Middlesex,Wayland,MA,Massachusetts
01784,090,22090,Middlesex,Woodville,MA,Massachusetts
01801,090,22090,Middlesex,Woburn,MA,Massachusetts
01803,090,22090,Middlesex,Burlington,MA,Massachusetts
01805,090,22090,Middlesex,Burlington,MA,Massachusetts
01806,090,22090,Middlesex,Woburn,MA,Massachusetts
01807,090,22090,Middlesex,Woburn,MA,Massachusetts
01810,040,22040,Essex,Andover,MA,Massachusetts
01810,090,22090,Middlesex,Andover,MA,Massachusetts
01812,040,22040,Essex,Andover,MA,Massachusetts
01813,090,22090,Middlesex,Woburn,MA,Massachusetts
01821,090,22090,Middlesex,Billerica,MA,Massachusetts
01822,090,22090,Middlesex,Billerica,MA,Massachusetts
01824,090,22090,Middlesex,Chelmsford,MA,Massachusetts
01826,090,22090,Middlesex,Dracut,MA,Massachusetts
01827,090,22090,Middlesex,Dunstable,MA,Massachusetts
01830,040,22040,Essex,Haverhill,MA,Massachusetts
01831,040,22040,Essex,Haverhill,MA,Massachusetts
01832,040,22040,Essex,Haverhill,MA,Massachusetts
01833,040,22040,Essex,Georgetown,MA,Massachusetts
01834,040,22040,Essex,Groveland,MA,Massachusetts
01835,040,22040,Essex,Haverhill,MA,Massachusetts
01840,040,22040,Essex,Lawrence,MA,Massachusetts
01841,040,22040,Essex,Lawrence,MA,Massachusetts
01842,040,22040,Essex,Lawrence,MA,Massachusetts
01843,040,22040,Essex,Lawrence,MA,Massachusetts
01844,040,22040,Essex,Methuen,MA,Massachusetts
01845,040,22040,Essex,North Andover,MA,Massachusetts
01845,090,22090,Middlesex,North Andover,MA,Massachusetts
01850,090,22090,Middlesex,Lowell,MA,Massachusetts
01851,090,22090,Middlesex,Lowell,MA,Massachusetts
01852,090,22090,Middlesex,Lowell,MA,Massachusetts
01853,090,22090,Middlesex,Lowell,MA,Massachusetts
01854,090,22090,Middlesex,Lowell,MA,Massachusetts
01860,090,22090,Middlesex,Merrimac,MA,Massachusetts
01860,040,22040,Essex,Merrimac,MA,Massachusetts
01862,090,22090,Middlesex,North Billerica,MA,Massachusetts
01863,090,22090,Middlesex,North Chelmsford,MA,Massachusetts
01864,090,22090,Middlesex,North Reading,MA,Massachusetts
01865,090,22090,Middlesex,Nutting Lake,MA,Massachusetts
01866,090,22090,Middlesex,Pinehurst,MA,Massachusetts
01867,090,22090,Middlesex,Reading,MA,Massachusetts
01876,090,22090,Middlesex,Tewksbury,MA,Massachusetts
01879,090,22090,Middlesex,Tyngsboro,MA,Massachusetts
01880,040,22040,Essex,Wakefield,MA,Massachusetts
01880,090,22090,Middlesex,Wakefield,MA,Massachusetts
01885,040,22040,Essex,West Boxford,MA,Massachusetts
